Index,p0,p1,p2,p3,camber_0.03,camber_0.2,camber_0.4,camber_0.6,camber_0.8,U10_a0_OF_cl,U10_a0_OF_cd,U10_a1_OF_cl,U10_a1_OF_cd,U10_a3_OF_cl,U10_a3_OF_cd
182,0.000498,0.007951,0.000993,0.009153,-9.5e-05,0.001866,0.005387,0.013435,0.014213,0.338824,0.003503,0.540713,0.001022,0.680226,0.03843
183,0.001352,0.00869,0.002529,0.001594,1.5e-05,0.002397,0.006082,0.011114,0.012716,0.298573,0.003179,0.518676,0.000883,0.673702,0.039665
184,0.004018,0.007915,0.005496,0.010342,0.000346,0.003426,0.006867,0.015264,0.014529,0.345226,0.004007,0.556877,0.001142,0.688102,0.040188
185,-0.010337,0.01512,0.003138,0.000106,-0.001426,-0.001302,0.008166,0.010808,0.012426,0.261089,0.001996,0.454428,0.001386,0.667778,0.032844
186,-0.006497,0.006249,0.00095,0.009825,-0.000981,-0.001436,0.004514,0.013656,0.014348,0.317673,0.002695,0.511131,0.00099,0.678889,0.036344
187,-0.001901,0.008528,0.002587,0.011443,-0.000394,0.000986,0.006011,0.014781,0.014702,0.329373,0.003427,0.539431,0.000908,0.692803,0.036551
188,-0.003788,0.007618,0.005775,0.017553,-0.000635,5.9e-05,0.006628,0.018019,0.015987,0.320371,0.003781,0.555162,0.001197,0.708888,0.035674
189,-0.002512,0.012741,0.004353,0.006304,-0.000453,0.001576,0.008003,0.013458,0.013696,0.310477,0.002466,0.513978,0.000646,0.690442,0.033999
190,0.001822,0.007789,0.002126,0.007826,7e-05,0.002415,0.005705,0.013292,0.013965,0.332992,0.003579,0.538302,0.000949,0.684147,0.039912
191,0.001025,0.007905,0.003485,0.013267,-3e-05,0.002121,0.006176,0.015728,0.015085,0.350519,0.003897,0.554164,0.00114,0.695539,0.037556
192,-0.001373,0.013103,0.005463,0.014631,-0.000309,0.002148,0.008582,0.016889,0.015393,0.365278,0.002845,0.546413,0.000813,0.709801,0.034191
193,0.001125,0.008123,0.00362,0.018178,-1.6e-05,0.002208,0.006342,0.017591,0.016077,0.351562,0.004387,0.577217,0.001315,0.712714,0.038032
194,-0.008718,0.01782,0.003468,0.007112,-0.001212,-8.3e-05,0.009362,0.01353,0.013844,0.291907,0.001568,0.482982,0.000604,0.685813,0.032213
195,-0.004288,0.011536,0.005912,0.011999,-0.000681,0.000612,0.008023,0.016038,0.01487,0.344614,0.00244,0.523683,0.000801,0.699902,0.034185
196,-0.011348,0.013341,0.00235,0.009094,-0.00156,-0.002091,0.007326,0.01388,0.014224,0.305089,0.002155,0.471719,0.001902,0.681493,0.033638
197,-0.004679,0.009759,0.002763,0.009162,-0.000738,4.9e-05,0.006391,0.014001,0.014245,0.331961,0.002319,0.514228,0.000845,0.686486,0.035347
198,0.002767,0.008639,0.006606,0.015835,0.000192,0.003054,0.007467,0.017648,0.015655,0.346844,0.004354,0.572865,0.001119,0.713129,0.037249
199,-0.001956,0.010162,0.004036,0.006563,-0.000394,0.001304,0.006995,0.013434,0.013743,0.299689,0.002986,0.522996,0.000653,0.685754,0.035318
200,-0.002913,0.011082,0.001468,0.002221,-0.000511,0.001036,0.006482,0.011041,0.012824,0.28755,0.002421,0.499376,0.000679,0.675527,0.035218
201,-0.006604,0.013353,0.001409,0.004198,-0.000965,-9e-05,0.007173,0.011776,0.013222,0.283098,0.002012,0.48186,0.000655,0.677347,0.033594
202,-0.004668,0.011272,0.004489,0.007527,-0.00073,0.000377,0.007446,0.01394,0.013944,0.318697,0.002218,0.50785,0.000724,0.6879,0.034307
203,-0.001624,0.009277,0.006421,0.012748,-0.000356,0.001312,0.007459,0.016452,0.015029,0.330441,0.003386,0.54647,0.000831,0.702119,0.035291
204,-0.00246,0.012304,0.00482,0.00914,-0.000449,0.001521,0.008012,0.014649,0.014275,0.32651,0.00257,0.524325,0.000665,0.696301,0.034085
205,-0.001266,0.008064,0.003919,0.010022,-0.000316,0.001187,0.006255,0.014661,0.014438,0.32189,0.003433,0.540847,0.000834,0.691099,0.036478
206,-0.00177,0.011927,0.006101,0.010102,-0.000364,0.001761,0.008294,0.015397,0.014491,0.334761,0.002695,0.532969,0.000671,0.698941,0.034194
207,-0.001933,0.012562,0.004904,0.006985,-0.000382,0.001796,0.008131,0.013879,0.013842,0.316273,0.002516,0.519463,0.000701,0.692789,0.034144
208,-0.004339,0.013099,0.003957,0.004035,-0.000681,0.000864,0.007929,0.012499,0.013232,0.303938,0.002003,0.494657,0.000636,0.683566,0.033778
209,-0.00323,0.009664,0.002727,0.007797,-0.000556,0.000645,0.006385,0.013483,0.013969,0.309959,0.002766,0.517871,0.000745,0.685849,0.035454
210,-0.005883,0.011157,0.002419,0.006662,-0.000883,-0.000195,0.006729,0.01298,0.013735,0.318668,0.001828,0.495414,0.00081,0.682712,0.034455
211,-0.005824,0.010847,0.003229,0.006081,-0.000877,-0.000217,0.006858,0.013012,0.013632,0.312868,0.001951,0.494088,0.00081,0.682012,0.034382
212,-0.000135,0.014388,0.005951,0.008841,-0.000148,0.002932,0.009188,0.014906,0.014234,0.32511,0.002692,0.535506,0.000721,0.70163,0.034152
213,-0.00792,0.013647,0.004312,0.002574,-0.001129,-0.000544,0.008093,0.012071,0.012943,0.297146,0.001333,0.474528,0.000526,0.67666,0.033379
214,-0.004736,0.01193,0.006405,0.009649,-0.000736,0.000507,0.008278,0.015323,0.014404,0.329562,0.002242,0.510111,0.000772,0.694488,0.033683
215,-0.005966,0.010966,0.001995,0.007385,-0.000895,-0.000275,0.006536,0.013116,0.013874,0.319214,0.001946,0.498738,0.000811,0.683289,0.03464
216,-0.009718,0.015879,0.005231,0.001107,-0.001345,-0.000857,0.009103,0.011831,0.012663,0.278797,0.001791,0.46162,0.001288,0.674497,0.032592
217,-0.008136,0.015543,0.003131,0.002824,-0.001148,-0.000285,0.008419,0.011817,0.012974,0.288887,0.001372,0.473102,0.000438,0.675483,0.032803
218,-0.001964,0.013284,0.003103,0.006434,-0.000382,0.001894,0.007844,0.013126,0.013701,0.302394,0.002592,0.515271,0.000711,0.689623,0.034267
219,-0.008773,0.015137,0.006386,0.007071,-0.00123,-0.000582,0.009268,0.01439,0.013884,0.292925,0.002194,0.483838,0.000676,0.688071,0.032713
220,-0.003627,0.014245,0.005049,0.006062,-0.000587,0.001407,0.008716,0.013596,0.013659,0.313251,0.0021,0.504252,0.000611,0.690874,0.033176
221,-0.000578,0.01019,0.004842,0.01213,-0.000221,0.001908,0.007346,0.015745,0.014878,0.32839,0.003552,0.547493,0.000917,0.700821,0.03603
222,0.006374,0.007975,0.006429,0.010073,0.000642,0.004453,0.007251,0.015452,0.01449,0.35627,0.003958,0.561433,0.001488,0.689829,0.042425
223,-0.008531,0.014812,-8.5e-05,0.005521,-0.001201,-0.000648,0.007195,0.011819,0.013463,0.28398,0.001741,0.476161,0.000586,0.67625,0.033461
224,0.001154,0.010575,0.005748,0.015101,-2e-06,0.002733,0.007846,0.017129,0.015492,0.349651,0.003838,0.56231,0.001103,0.710808,0.036415
225,-0.004171,0.013306,0.005964,0.00298,-0.000659,0.001008,0.008605,0.012728,0.013053,0.30315,0.001939,0.491186,0.000621,0.68576,0.03352
226,-0.004126,0.013177,0.003994,0.004322,-0.000654,0.00097,0.007978,0.012617,0.01329,0.304589,0.002065,0.498064,0.000612,0.684714,0.033789
227,0.003451,0.011771,0.008128,0.017742,0.000291,0.00398,0.009102,0.018852,0.016065,0.358075,0.004235,0.580661,0.001028,0.725393,0.036347
228,-0.005589,0.014727,0.003988,0.006281,-0.000832,0.000651,0.008503,0.013355,0.013685,0.307087,0.00187,0.493102,0.000607,0.687135,0.033008
229,-0.00728,0.013189,0.0018,0.004968,-0.00105,-0.000402,0.007214,0.01218,0.013383,0.290068,0.001899,0.483134,0.000631,0.678396,0.033766
230,-0.002763,0.015585,0.005974,0.00696,-0.000473,0.00205,0.009519,0.014226,0.013855,0.315454,0.002232,0.511034,0.000602,0.698469,0.032874
231,-0.004785,0.013197,0.003249,0.000276,-0.000737,0.000682,0.007702,0.010888,0.012462,0.287597,0.001862,0.478272,0.000671,0.675483,0.033849
232,0.001796,0.010909,0.007057,0.007811,8e-05,0.003092,0.008321,0.014834,0.014045,0.321911,0.003314,0.544962,0.000748,0.700461,0.03564
233,-0.004982,0.015189,0.004167,0.004072,-0.000753,0.001002,0.008726,0.012595,0.013243,0.299184,0.001877,0.488435,0.000578,0.684973,0.032989
234,-0.003936,0.013214,0.00638,0.008679,-0.00063,0.001097,0.008756,0.014967,0.014208,0.326513,0.002222,0.511263,0.000679,0.695723,0.033412
235,-0.003878,0.01333,0.002083,0.002037,-0.000623,0.001074,0.007446,0.011183,0.012797,0.282313,0.00227,0.489578,0.000701,0.679136,0.033961
236,-0.001807,0.014237,0.005062,0.002597,-0.000359,0.002178,0.008751,0.012316,0.01296,0.299401,0.002297,0.505948,0.000544,0.687452,0.033939
237,-0.005523,0.016174,0.003964,0.001134,-0.000817,0.00096,0.008977,0.011453,0.012647,0.2864,0.001692,0.480524,0.000415,0.678982,0.032731
238,-0.006151,0.019639,0.007437,0.003861,-0.000882,0.001425,0.011281,0.013565,0.013255,0.298298,0.001548,0.490808,0.000105,0.690939,0.03153
239,-0.003722,0.014688,0.004724,0.005184,-0.000597,0.001448,0.008767,0.013175,0.013476,0.305635,0.002131,0.500103,0.000594,0.689289,0.033092
240,0.006066,0.00954,0.007097,0.009339,0.00061,0.004639,0.008003,0.0154,0.014353,0.34528,0.003956,0.560541,0.00121,0.691507,0.04206
241,-0.00742,0.015947,0.002582,-0.001739,-0.001056,8.8e-05,0.008385,0.00996,0.012045,0.265009,0.001543,0.461192,0.0004,0.667711,0.032816
242,-0.001927,0.013097,0.00655,0.005067,-0.000378,0.001929,0.008804,0.01368,0.013483,0.309909,0.002422,0.514926,0.000579,0.692675,0.033757
243,-0.008602,0.016004,0.003384,0.002491,-0.001205,-0.000389,0.008643,0.011775,0.012911,0.287256,0.001293,0.468291,0.00053,0.675403,0.032729
244,0.003472,0.010271,0.008663,0.013403,0.000288,0.003705,0.008682,0.017395,0.015199,0.345257,0.003991,0.569282,0.000895,0.714391,0.036668
