#sample number,P,I,overshoot,t5%
128,1.90E+02,9.32E+02,4.66E-02,1.63E-01
129,1.72E+02,7.95E+02,8.38E-03,2.00E-01
130,1.87E+02,8.54E+02,2.37E-02,1.90E-01
131,1.90E+02,9.32E+02,4.68E-02,1.63E-01
132,1.13E+02,7.59E+02,4.05E-02,2.42E-01
133,1.72E+02,7.95E+02,8.38E-03,2.00E-01
134,1.56E+02,7.41E+02,0.00E+00,2.22E-01
135,1.90E+02,9.32E+02,4.66E-02,1.63E-01
136,1.56E+02,7.41E+02,0.00E+00,2.22E-01
137,1.56E+02,7.45E+02,0.00E+00,2.32E-01
138,1.90E+02,9.32E+02,4.67E-02,1.63E-01
139,1.58E+02,8.00E+02,1.57E-02,2.18E-01
140,1.57E+02,7.95E+02,1.45E-02,2.19E-01
141,1.41E+02,8.54E+02,4.80E-02,2.19E-01
142,1.90E+02,9.35E+02,4.77E-02,1.63E-01
143,1.90E+02,9.32E+02,4.66E-02,1.63E-01
144,1.56E+02,7.68E+02,4.63E-03,2.19E-01
145,1.73E+02,8.24E+02,1.76E-02,1.96E-01
146,1.56E+02,7.65E+02,3.22E-03,2.20E-01
147,1.90E+02,8.65E+02,2.67E-02,1.83E-01
148,1.56E+02,7.68E+02,4.63E-03,2.19E-01
149,1.56E+02,7.41E+02,0.00E+00,2.22E-01
150,1.73E+02,8.24E+02,1.78E-02,2.04E-01
151,1.56E+02,7.39E+02,0.00E+00,2.35E-01
152,1.88E+02,8.64E+02,2.66E-02,1.90E-01
153,1.55E+02,7.41E+02,0.00E+00,2.28E-01
154,1.89E+02,9.38E+02,4.88E-02,1.63E-01
155,1.90E+02,9.32E+02,4.66E-02,1.63E-01
156,1.20E+02,7.47E+02,2.70E-02,2.50E-01
157,1.90E+02,9.32E+02,4.66E-02,1.63E-01
158,1.90E+02,9.03E+02,3.82E-02,1.85E-01
159,1.73E+02,8.23E+02,1.73E-02,1.95E-01
160,1.90E+02,8.79E+02,3.10E-02,1.83E-01
161,1.50E+02,7.95E+02,1.87E-02,2.24E-01
